video_01	VU	1	2,1,2,2,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,4,5,5,5,5,5,4,5,4,5,5,4,5,4,5,3,4,3,5,5,3,4,3,3,2,2,1,2,3,2,1,2,1,2,2,2,2,2,3,3,4,3,3,4,5,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,4,4,4,4,4,4,3,3,3,2,2,3,2,1,1,1,2,2,1,2,2,3,3,4,3,3,4,4,4,4,4,4,4,4,5,5,4,5,5,5,5,5,5,5,5,4,4,4,4,4,3,4,3,3,4,3,3,2,2,2,2,2,1,1,1
video_01	VU	2	1,1,1,2,3,3,2,3,4,4,3,4,5,3,4,5,4,5,4,4,4,5,5,5,5,5,5,5,4,5,5,5,5,5,4,3,3,4,4,4,3,3,3,2,1,3,1,2,2,1,1,2,1,1,2,3,3,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,4,4,5,5,4,3,4,3,2,3,3,3,1,2,1,1,1,1,1,2,2,2,3,2,2,3,4,4,4,3,4,5,4,4,5,4,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,5,4,4,3,3,4,3,3,3,2,2,3,3,2,2,1
video_01	VU	3	1,1,1,2,2,2,2,3,2,2,3,3,4,4,4,4,5,4,4,5,5,5,4,4,5,5,4,5,5,5,5,5,4,4,5,3,4,3,4,3,4,3,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,3,3,3,4,4,4,4,4,4,4,5,4,4,5,4,5,5,5,4,4,5,5,5,5,5,4,4,3,3,4,4,4,3,3,3,2,2,2,3,2,2,2,2,1,2,1,2,2,2,3,3,3,3,4,4,3,3,4,5,4,4,5,3,5,4,5,5,4,5,4,5,5,5,4,5,4,5,4,4,4,4,4,3,3,3,4,2,3,2,2,2,2,1
video_01	VU	4	1,1,1,1,2,3,3,1,3,3,3,3,3,3,4,5,4,4,5,5,5,5,5,5,4,5,5,4,5,4,5,5,4,5,4,4,4,4,4,4,3,3,3,2,2,3,2,2,1,1,2,1,2,2,2,3,2,3,4,3,3,3,3,3,5,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,4,3,3,3,3,3,2,1,2,2,2,2,1,2,1,2,2,2,3,3,2,3,3,4,3,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,4,4,4,4,4,3,3,3,3,2,2,2,2,2,1
video_01	VU	5	1,1,1,1,2,2,3,3,3,4,3,4,4,4,4,5,4,4,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,4,5,4,4,3,4,4,3,4,2,2,2,2,2,2,2,1,1,2,1,2,3,2,3,2,4,2,3,3,5,4,4,4,5,5,4,4,4,5,5,5,5,4,5,4,5,5,4,4,5,5,4,3,4,4,4,3,3,3,3,2,2,2,2,1,2,1,1,2,2,1,3,3,2,4,3,4,3,3,4,5,5,5,4,4,5,5,4,5,4,5,5,4,5,5,5,4,4,4,5,4,5,5,4,3,4,3,3,2,3,2,1,2,2,3,1,1
video_01	VU	6	2,1,1,1,1,3,2,2,3,4,3,4,4,4,4,5,5,4,4,4,5,5,5,5,4,5,5,5,5,5,5,4,5,4,4,3,4,3,3,4,3,4,3,2,2,2,2,2,1,2,1,1,1,2,2,2,2,2,3,3,3,4,4,4,4,4,5,5,5,5,5,4,5,4,5,5,5,5,4,4,4,5,5,4,4,4,4,3,4,4,4,3,3,2,2,3,3,1,2,2,1,2,2,2,2,2,2,3,3,4,5,4,4,4,4,5,4,4,4,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,3,3,3,4,3,3,2,3,2,2,2,1,1,2
video_01	VU	7	1,1,1,2,2,3,3,3,2,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,3,3,4,4,4,3,3,3,3,2,2,1,1,2,1,1,2,2,2,3,3,3,3,4,4,4,5,5,4,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,4,5,5,5,5,4,3,3,3,3,3,2,2,2,1,1,1,2,1,2,2,3,3,2,2,3,3,3,4,4,3,4,5,5,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,3,4,3,3,2,2,3,1,2,2,1,1,1
video_01	VU	8	1,2,1,2,2,2,3,2,2,3,3,4,4,3,4,5,5,3,5,5,5,5,5,5,5,5,4,5,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,2,2,3,3,4,3,4,4,4,4,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,4,4,5,4,3,3,4,3,3,2,3,3,2,1,1,1,1,1,2,2,3,1,2,2,3,2,4,4,4,4,4,4,5,4,5,4,5,3,5,4,5,4,5,4,5,5,5,5,5,5,3,5,4,3,4,3,3,3,2,3,2,2,1,1,2,1
video_01	VU	9	1,1,1,2,2,2,3,2,3,4,3,4,4,5,5,4,4,4,4,5,5,5,5,4,5,5,5,5,5,5,5,4,5,4,4,5,4,3,4,4,4,3,3,3,2,3,2,1,1,2,2,1,2,2,3,2,3,3,3,3,4,5,4,4,4,5,5,4,4,5,4,5,5,4,5,5,5,4,5,5,5,5,5,5,3,3,3,4,4,3,3,2,2,3,2,3,2,1,1,2,1,1,2,2,2,2,3,3,3,3,3,4,4,5,4,4,4,5,4,5,4,5,5,4,5,4,5,5,4,4,5,5,5,4,4,5,4,4,3,3,4,3,3,3,3,3,2,1,1,2
video_01	VU	10	1,1,1,2,2,3,2,2,3,3,3,4,4,3,4,5,4,5,5,5,4,5,4,5,5,5,5,5,4,5,4,4,4,4,4,3,4,4,4,4,3,3,2,4,2,2,1,1,1,2,1,1,1,2,2,3,3,3,4,3,5,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,4,4,5,5,4,3,3,2,2,3,3,2,2,3,2,1,1,1,1,1,2,2,2,3,3,4,4,4,4,4,4,5,4,4,4,5,5,5,5,4,5,5,5,5,5,5,5,4,4,4,3,5,4,4,4,3,4,3,3,3,3,2,2,2,2,2,1
video_01	VU	11	1,1,1,2,2,2,2,2,4,3,4,3,4,4,3,4,5,3,5,5,4,5,4,5,5,4,5,5,5,5,4,5,5,5,4,5,4,4,3,3,3,3,3,3,3,2,2,1,2,2,1,1,1,2,3,1,3,3,2,3,3,4,3,5,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,4,4,5,5,4,4,4,4,4,3,4,3,3,1,1,2,1,2,1,1,2,2,2,2,2,4,3,3,3,3,4,4,5,4,3,4,5,5,5,4,5,4,5,5,4,5,5,5,5,5,5,4,5,3,4,4,3,4,4,3,3,3,2,3,2,1,1,1,1
video_01	VU	12	1,2,2,1,2,2,1,2,2,3,3,4,4,3,4,3,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,3,3,3,4,3,3,2,3,3,1,2,1,2,1,1,2,1,1,2,2,3,3,3,4,3,4,4,4,4,4,3,5,4,4,4,5,5,5,5,5,5,5,5,5,5,4,5,4,5,3,4,4,3,3,3,3,3,2,2,2,2,1,1,2,1,2,1,2,2,3,2,2,3,4,4,4,4,4,5,4,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,4,5,4,5,4,3,4,3,3,3,3,3,3,2,1,1,1,1
video_01	VU	13	1,2,1,2,2,2,3,3,3,3,4,4,5,4,4,4,4,5,4,5,4,5,5,5,5,5,4,4,4,5,5,5,4,5,4,5,4,4,4,3,3,3,3,3,3,2,2,1,3,1,1,2,2,1,1,2,2,2,3,4,4,3,4,4,5,4,4,5,5,4,5,5,5,4,5,5,5,4,5,5,4,4,4,5,5,4,4,3,4,4,3,3,3,2,2,2,1,2,1,1,1,2,2,2,2,2,2,3,2,3,3,4,4,4,5,4,5,5,5,4,5,5,3,5,5,5,5,5,5,5,4,5,4,4,4,4,4,4,3,3,4,3,2,3,2,2,2,2,1,2
video_01	VU	14	1,1,1,2,2,2,2,3,3,3,3,4,4,5,5,4,4,4,5,5,5,4,5,5,5,5,5,4,4,4,4,4,4,4,5,5,4,4,4,3,3,2,2,3,2,3,3,2,1,1,1,2,1,2,2,3,3,4,3,3,3,3,3,3,4,4,5,5,5,5,4,5,5,4,4,5,4,4,5,5,5,5,4,5,4,3,5,4,4,3,3,3,2,3,1,2,1,2,1,1,2,1,2,1,2,2,3,3,3,2,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,3,4,5,4,3,4,3,3,3,2,2,3,2,3,1,2,1,1
video_01	VU	15	2,1,2,2,2,3,3,3,3,4,3,4,3,3,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,4,4,4,4,4,4,3,4,4,3,3,2,2,2,3,1,1,1,2,1,1,3,3,2,3,3,3,4,3,4,4,5,4,3,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,4,3,2,2,3,2,1,1,1,1,2,1,2,2,2,2,3,4,4,4,5,5,4,5,5,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,1,3,3,2,2,2,2,1
